,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
251,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz_w4H2xlSK8LLEP-H8G96k,RPP OCURRIÓ 2015,2015-12-28T16:50:30Z,,32
252,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxwLILVnrAc1tLJnP7WCaWk,CADE 2015,2015-12-04T14:48:18Z,,46
253,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyNzcUmvZlL9ghiYhO6Z1Gr,NOTICIAS DICIEMBRE 2015,2015-12-02T13:34:03Z,,81
254,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyxEofgsczTRHBxsOgjYRq4,NOTICIAS NOVIEMBRE 2015,2015-11-03T13:24:25Z,,111
255,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZy0d8GaK6ObElJPSevrQ8N_,RPP FAMILIAPUNTOCOM,2015-10-18T18:10:24Z,,390
256,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxLe6ZDsQdEh3c-mJbdv8UC,PERÚ - CHILE (ESPECIAL),2015-10-13T13:49:26Z,,12
257,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwiEh9y98eEywuEXgm4wRZl,NOTICIAS OCTUBRE 2015,2015-10-04T01:28:02Z,,101
258,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyEVzYjaSTfQPCMbOBuZUbR,MARATÓN RPP 2015,2015-09-28T17:24:54Z,,19
259,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZy3vD2l0aD06XZlNvF36Cjx,MISTURA 2015,2015-09-08T18:18:24Z,,12
260,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxZJtNNK2phuCD3D1ZI3IsP,NOTICIAS SETIEMBRE 2015,2015-09-01T16:53:12Z,,137
261,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwX9TqOVAaZQQ_Fod7HvLnO,NOTICIAS AGOSTO 2015,2015-08-02T14:11:25Z,,76
262,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxq3EWk1M_WF3eqOLTWpyMo,NOTICIAS JULIO 2015,2015-07-01T17:47:18Z,,181
263,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyqxqcZh4S8IdFqA8nw83nr,NOTICIAS JUNIO 2015,2015-06-01T14:23:20Z,,169
264,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZydYSUcm-uXHMAIWE-JwIOl,NOTICIAS MAYO 2015,2015-05-19T17:06:48Z,,53
265,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzK5qzkBCaYKxu9Sfqa12jc,RPP SEMANA SANTA 2015,2015-03-30T02:38:54Z,,1
266,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxRcJ6gvx4dO7jXRrfF1w05,MÁS VÍDEOS,2015-03-05T18:21:43Z,,168
267,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyZUaL0ycjIINS8QMPe6iy0,RPP INSÓLITO,2015-02-18T12:46:44Z,,69
268,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzuXj6xmNE9rvBgvFJxD-KR,NOTICIAS FEBRERO,2015-02-02T03:51:48Z,,262
269,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwrsPO6NgfEvDJSeNwSe7R1,NOTICIAS ENERO,2015-01-02T01:55:26Z,,288
270,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyoa5DDfOHMFHZvCmwWH0TK,OCURRIÓ 2014,2014-12-24T20:03:01Z,,35
271,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwTRtE6mR8i5XXfBOBQ0e5N,RPP SPOTS NAVIDEÑOS,2014-12-11T23:47:20Z,,2
272,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzVOUA1LOjnl3ytVr2YnsZ4,NOTICIAS DICIEMBRE,2014-12-02T20:30:30Z,,351
273,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxldjL-eO99Qx55rtC3QJuc,RPP TE CUIDA,2014-11-26T19:18:08Z,,6
274,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyxwIiuOqVZkIGHFysFtXmw,DESDE EL ESTUDIO RPP,2014-11-07T00:04:48Z,,16
275,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz48plWsXGIUWM2nAJx1URY,NOTICIAS NOVIEMBRE,2014-11-01T15:22:07Z,,392
276,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZx2O-6nd9t58HEjVNebboR6,LA #RANITA,2014-10-30T00:06:56Z,,49
277,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxoKQwhrV2vuUiN5RmTp-P2,ENTRE PATAS Y COLAS RPP,2014-10-22T02:10:26Z,,33
278,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyEykca6-aDlePEI3gMyuQB,NOTICIAS MARZO,2014-10-04T17:53:57Z,,6
279,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZx5YNYOwqWW6nPz1ofgY7qy,NOTICIAS OCTUBRE,2014-10-01T19:27:46Z,,305
280,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyNkr6cZEiJrjq3FhM8moqd,NOTICIAS SETIEMBRE,2014-09-01T17:56:02Z,,252
281,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyRXmxlYykK7BWEyi_R2sAE,RPP ERA TABÚ,2014-08-28T00:56:01Z,,11
282,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxncAjo1iNkCL2kHECqgX3C,INFORME ESPECIAL RPP,2014-08-27T22:25:38Z,,4
283,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyfRiflovBrAexBXt8S2x52,LOS CHISTOSOS RPP,2014-08-15T01:39:23Z,,249
284,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzty1CADC3U2oFmCXLceJpL,RPP ENTREVISTAS,2014-08-03T18:39:29Z,,150
285,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzV9yVfGz3dqCeNy5W5Q16J,NOTICIAS AGOSTO,2014-08-01T18:02:44Z,,255
286,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxhwzPo3j02XXdrNydwZHuu,RPP FIESTAS PATRIAS 2014,2014-07-28T16:18:25Z,,30
287,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZybeLZUMf-J2VqAEDrOG_b-,RPP SIEMPRE EN CASA  (SALUD Y MÁS),2014-07-17T23:09:10Z,,910
288,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwXZ0SR_YtjFghGL1yUwHGY,NOTICIAS JULIO,2014-07-16T22:30:57Z,,120
289,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwSMoaXbVd4EPNvTVphD6S4,RPP ECONOMÍA Y MERCADOS,2014-06-26T14:15:30Z,,164
290,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwjJbFTLpbwsH4pDINPzz1H,RPP REGIONES EN MARCHA,2014-05-18T02:25:32Z,,5
291,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxZyn7JByKPQek7lYHYtQRQ,RPP UN DÍA COMO HOY,2014-05-16T19:11:57Z,,164
292,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZymfOnckmwWblVxYZgCMIXc,RPP LAS 5 DE LAS 7,2014-05-10T18:24:45Z,,765
293,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxdQBK9u9O-0PwZlF_hpDd2,NOTICIAS JUNIO,2014-05-07T18:25:38Z,,337
294,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwN3de5VqQ0qFUxQf_Mf9qB,CONEXIÓN,2014-05-04T00:50:52Z,,584
295,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZx80gwY3sBYBoiV9_sHmdq4,RPP OCURRIÓ EL 2013,2013-12-30T20:58:43Z,,34
296,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzSOnAGrHSnBNm3aGbhztQg,RPP ANIVERSARIO 50 años,2013-10-07T20:46:22Z,Conoce la historia de RPP Noticias durante estos 50 años de transmisión ininterrumpida. Historias de un país que avanza...,8
297,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyMtO7rVFLNPD8IwvAWSj4n,RPP LIKE √ PETS,2013-09-21T03:16:54Z,,59
298,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyaFlAJTKjC8bFcB5rCi6GO,RPP OCURRIÓ EL 2012,2012-12-28T17:28:13Z,,4
299,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw0pRlFtkpYmkyZpqkFJuVI,RPP ENTRETENIMIENTO,2012-09-25T14:37:34Z,,132
300,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwzoO72duD2rJUI4zm7iJUC,RPP DEPORTES,2012-09-25T14:35:15Z,,725
