,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
125,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzbclAxxwTrN9Y8wYd8KXTL,CADE Ejecutivos,2021-11-16T14:45:15Z,,9
126,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyJUOckPeHfQ9qozlGWLquc,Voto de confianza: Gabinete de Mirtha Vásquez,2021-11-04T14:58:20Z,,4
133,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzDp9EHk1QBahppMdO4e5UO,CAMBIO DE MANDO PERÚ 2021,2021-07-27T15:35:46Z,,84
134,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz6tuX-0TVCLapLW1WwAQ1O,FIESTAS PATRIAS: Bicentenario del Perú,2021-07-27T15:35:27Z,,43
136,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwaqzwCbMjcexcTi6rxJHFY,VACÚNATE CONTRA LA COVID-19,2021-07-13T14:22:46Z,,11
137,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwU6-4LXkuw73hSRUDTZSTj,ELECCIONES 2021: AUDIENCIAS PÚBLICAS,2021-06-17T13:53:43Z,,16
139,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwAkJhXP2MhIbRw4VNK-Qog,LAS COSAS COMO SON,2021-04-27T00:23:39Z,Fernando Carvallo selecciona la información y comparte su visión de la actualidad nacional e internacional.,2978
140,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyz5yAYwqv09QtM0gsTEpgH,Elecciones 2021 - Entrevistas,2021-04-12T00:31:57Z,,11
141,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwHyAnqGGt0ePo1S3CIt8O7,Elecciones 2021 - Regiones,2021-04-11T23:20:57Z,,19
142,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyjbEBLCrzAY6MYxa6_cwCn,Mensajes finales - candidatos presidenciales 2021,2021-04-09T14:42:43Z,,14
143,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyikp045R0quWeamWREHk2I,ELECCIONES 2021,2021-03-29T13:15:28Z,La información al momento sobre la elección presidencial entre Pedro Castillo y Keiko Fujimori.,558
144,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyZpEEWZcthWFDvYxDk2MGq,COVID-19: VARIANTE BRASILEÑA,2021-03-26T13:06:24Z,,25
145,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxiaGMGYQ96J0zOeSXH981N,Candidatos en un 2x3,2021-03-04T19:03:56Z,,12
146,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzTUvCHARUF0evDizNIGtb0,(E)LECCIONES EN PANDEMIA,2021-03-02T15:21:11Z,,1
147,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzpe0aVj4VWQ7CpxKo7ycx5,CUIDANDO TU SALUD,2021-02-23T15:11:08Z,,39
