"channel","publish_date","Program","title","views","comments","likes","dislikes"
"Willax Televisión",2021-02-02,"Combutters","CUARENTENA BAMBA - FEB 01 - 1/4 | Willax",23642,77,472,0
"Willax Televisión",2021-02-04,"Beto a Saber ","ESPIONAJE A SAGASTI - FEB 03 - 1/3 | Willax",102825,745,1803,0
"Willax Televisión",2021-02-04,"Combutters","AGATHA, TÚ SÍ SABES, ¿CUANDO LLEGA LA VACUNA? - FEB 03 - 4/4 | Willax",25869,240,441,0
"Willax Televisión",2021-02-04,"Combutters","NOS HACEN EL AVIÓN CON LA VACUNA - FEB 03 - 1/4 | Willax",22916,118,451,0
"Willax Televisión",2021-02-05,"Milagros Leiva Entrevista ","LA ETERNA POSTERGACIÓN DE LAS VACUNAS - FEB 04 - 1/4 | Willax",8193,49,157,0
"Willax Televisión",2021-02-05,"Milagros Leiva Entrevista ","ANGUSTIA POR ARRIBO DE VACUNAS - FEB 04 - 2/4 | Willax",10093,47,163,0
"Willax Televisión",2021-02-06,"Beto a Saber ","¿Y DÓNDE ESTÁ EL PILOTO? - FEB 05 - 1/3 | Willax",88427,628,1535,0
"Willax Televisión",2021-02-10,"Milagros Leiva Entrevista ","PRESIDENTE SAGASTI RECIBE LA VACUNA DE SINOPHARM - FEB 09 - 1/4 | Willax",6514,54,126,0
"Willax Televisión",2021-02-12,"Milagros Leiva Entrevista ","YO ME VACUNO, TÚ SIGUE EN CUARENTENA - FEB 11 - 1/4 | Willax",12729,161,375,0
"Willax Televisión",2021-02-12,"Milagros Leiva Entrevista ","VIZCARRA: SIEMPRE ENTRE LA MENTIRA Y LA TRAICIÓN - FEB 11 - 2/4 | Willax",20818,142,495,0
"Willax Televisión",2021-02-12,"Beto a Saber ","SE VACUNÓ MIENTRAS MORÍAMOS - FEB 11 - 1/4 | Willax",80067,983,2027,0
"Willax Televisión",2021-02-12,"Beto a Saber ","GERMÁN MÁLAGA RECONOCE QUE FUE A VACUNAR AL EXPRESIDENTE VIZCARRA- FEB 11-4/4 |Willax",27272,226,643,0
"Willax Televisión",2021-02-13,"Milagros Leiva Entrevista ","TÚ TE VACUNABAS, LOS PERUANOS MORÍAN - FEB 12 - 1/4 | Willax",11513,145,307,0
"Willax Televisión",2021-02-13,"Milagros Leiva Entrevista","Milagros Leiva Entrevista-OTROS FUNCIONARIOS PÚBLICOS HABRÍAN RECIBIDO LA VACUNA- FEB12- 2/4| Willax",28900,210,491,0
"Willax Televisión",2021-02-13,"Beto a Saber ","LA CUCHIPANDA DE LAS VACUNAS - FEB 12 - 1/4 | Willax",90814,722,2124,0
