video_id,channel_title,channel_id,video_publish_date,program,program_date,video_title,video_description,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_tags
mVzLv_JJYCs,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-16,Milagros Leiva Entrevista ,DIC 15,MÁS CERCA DE LA SEGUNDA OLA QUE DE LAS VACUNAS - 1/4 | Willax,"Un recordatorio del caos que nos ha dejado Martín Vizcarra y una entrevista con Ernesto Bustamante, exjefe del Instituto Nacional de Salud.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",8813,67,226,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
O3ILZH2O8R4,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-16,Milagros Leiva Entrevista ,DIC 15,"""EL MANEJO DE LA PANDEMIA HA SIDO CATASTRÓFICO"" - 2/4 | Willax","Entrevista con Ernesto Bustamante, exjefe del Instituto Nacional de Salud, hablando sobre la situación del país con respecto a la adquisición de la vacuna anticovid y el sistema de salud.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",8165,46,214,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
r9-UDWN_IVk,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-16,Combutters,DIC 15,VACUNA: LA CANCILLER NO ASUME NADA - 2/4 | Willax,"La canciller, Elizabeth Astete, no sabe, opina poco y no tiene nada concreto con respecto a la bendita vacuna que está muy lejana de nuestro país. 

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",15230,74,439,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|francisco sagasti|Sagasti|Premier|Ministra MIDIS|Canciller|vacuna|canciller|no asume|no hay|contratos|farmacéuticas|Elizabeth Astete
aMSgRzmWAvo,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-17,Milagros Leiva Entrevista ,DIC 16,"A FALTA DE VACUNAS, VUELVEN LAS RESTRICCIONES - 1/4 |Willax","El Perú sigue sin una vacuna a la vista y el presidente Sagasti recién se pronuncia. Así que Milagros se entrevista con Phillipe Watanabe, periodista de Brasil y José María del Pino, periodista de Chile, sobre la compra de la compras de la vacunas.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",10585,73,259,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
JytlDrMbBbU,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-18,Milagros Leiva Entrevista ,DIC 17,VIZCARRA Y LA VACUNA QUE NO LLEGARÁ - 1/4 | Willax,"El expresidente Vizcarra sigue defendiendo su gestión con respecto a las vacunas, mientras tanto los peruanos siguen sin una vacuna a la vista. Mientras tanto famosos troles son parte de la plancha congresal del partido morado.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",13422,141,344,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
7uVcIBXbDes,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-19,Milagros Leiva Entrevista ,DIC 18,LAS FALSAS PROMESAS DE PILAR MAZZETTI - 1/4 | Willax,"Mazzeti está en el ojo de la tormenta con respecto con a la compra de las vacunas. Entrevista a Mauricio Mulder hablan de la segunda ola del Covid-19 y lo que se vendría para los responsables de toda esta situación en la que continuamos sin una vacuna.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",16846,124,395,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
14L--NoZvyQ,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-19,Milagros Leiva Entrevista ,DIC 18,CHILE Y COLOMBIA YA TIENEN LA VACUNA -  2/4 | Willax,"En otros países de Sudamérica ya tienen las vacunas anticovid, países como Chile y Colombia, pero en el Perú Martín Vizcarra sigue defendiendo su posición.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",42140,429,873,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
AzBxkReFCo8,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-22,Milagros Leiva Entrevista ,DIC 21,ALARMA MUNDIAL POR NUEVA VARIANTE DEL CORONAVIRUS - 1/4 | Willax,"La situación del Perú frente a esta nueva variante del coronavirus y el Perú aún sin una vacuna a la vista, para ello se entrevista al Dr. Eduardo Gotuzzo y a Ragi Burhum.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",9806,56,189,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
3VEN1-v1_Sg,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-22,Combutters,DIC 21,QUÉ TAL ‘CARE PALO’ - 2/4 | Willax,"Tal parece que, por unanimidad, el premio a la ostra del año será para… Si, Martíncito Vizcarra que luego de no haber asegurado ninguna vacuna contra el Covid para el Perú. Ahora se echa grasa y culpa de su mala gestión, a su enemigo favorito: El Congreso.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",27340,144,622,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|colegios|Vizcarra|vacuna|conchudo|care palo|no compró|Zamora|somos|somos peru|Salaverry|plancha presidencial|congreso|candidato|inmunidad|Daniel|luis Benavente
vPI39Ucwq5U,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-24,Milagros Leiva Entrevista ,DIC 23,¿EL APRA NUNCA MUERE? - 1/4 | Willax,"El partido aprista no ha logrado inscribir su partido en las elecciones del 2021. El MINSA confirma el millón de contagios por Covid-19, pero reportes de regiones señalan que ya estamos en los dos millones, para aclararnos el tema se entrevista al exjefe del Instituto Nacional de Salud, Ernesto Bustamante y al ex congresista Víctor Andrés García Belaunde.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",16315,131,290,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
